1. marirui  [「燃やせ 燃やせ その心を」]    [タイトーステーション弥富店@愛知県@東海] Score: 1670000000 
37. CloudyB.  [真・百溝段]    [ATTACK GAME CENTER@Korea@海外] Score: 1665914022 
38. MHRJ  [導きのARIA]    [ロックンボウル@秋田県@東北] Score: 1665874348 
39. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1665764620 
40. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1665557236 
41. K.x*N3  [God more raves?]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1665534624 
42. tsnk  [グルーヴ八十万段]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1665378929 
43. Shikyo  [緑眼のジェラシー]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1665349710 
44. ISiNKaGe  [Shadow God]    [タイトーステーション所沢店@埼玉県@関東] Score: 1665221501 
45. juni  [STAGER GOD]    [セガ鳥取@鳥取県@中国] Score: 1665199651 
46. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1665048190 
47. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1664861616 
48. KenWong  [「幼女の世界」]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1664789918 
49. SMP  [導きのARIA]    [ナムコランド広島店@広島県@中国] Score: 1664709848 
50. SCOTT  [Cruel God]    [ピンクパンサーつくば店@茨城県@関東] Score: 1664699065 
51. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1664518010 
52. KEYJILL*  [MAD GOD]    [セガ霞ヶ浦@茨城県@関東] Score: 1664000184 
53. TAK1  [仲良し姉妹]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1663757751 
54. HiBi  [一刀両断]    [タイトーステーション弥富店@愛知県@東海] Score: 1663509595 
55. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1663030104 
56. FUJIN  [AM貴族　すたどんたん女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1662931161 
57. NEO+ex  [獏]    [ハイテクランド　キューデン@東京都@関東] Score: 1662821889 
58. Xuzuo  [Detonator God]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1662496071 
59. BRO  [フロストゴッド]    [タイトーステーション青森アムゼ@青森県@東北] Score: 1662429943 
60. TyonTa  [INDIGO RESTAURANT]    [タイトーイン綾瀬@東京都@関東] Score: 1661895856 
61. NARSAN  [GAME MUSIC TRIANGLER]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1661872329 
62. 44327  [LINK PERFECT]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1661164118 
63. ChanM@ru  [つらい]    [タイトーステーション金沢店@石川県@北陸] Score: 1661052101 
64. Uetsu  [大阪神]    [メジャーゲーム館@新潟県@信越] Score: 1660869684 
65. antisan  [究極進化！]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1660552814 
66. Koton@ri  [メカクシ団]    [セガワールド長崎ココウォーク@長崎県@九州] Score: 1660230641 
67. Hei*  [God of Moon]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1659383662 
68. 9_tan*40  [ミライゴッド]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1659351544 
69. HIKARU  [GOD OF REVIVAL]    [タイトーステーション大須店@愛知県@東海] Score: 1659332920 
70. *Gamer*  [HARDCORE SYNDROME]    [タイトーイン綾瀬@東京都@関東] Score: 1659136796 
71. LEOPARD6  [JAN, 2018 TOP RANKER]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1658384763 
72. /*nYa  [プリンシパリティ]    [ソユーゲームフィールド新発田店@新潟県@信越] Score: 1658109603 
73. M2*NI53  [I AM EDM]    [タイトーステーション大須店@愛知県@東海] Score: 1657620792 
74. Komimi  [S＋級ドリア]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1657619678 
75. Sasuke  [┌[・ ・]┘god]    [ビッグバン釧路@北海道@北海道] Score: 1657482966 
76. FRED  [漆黒の堕天使]    [ＡＧスクエア岡谷@長野県@信越] Score: 1657479585 
77. SHUU  [I love Xenoa]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1657339101 
78. Yahiko*  [無彩色神]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1657222730 
79. 9*cM  [導きのARIA]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1657202690 
80. QWERTZ  [I love IOSYS]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1656893397 
81. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1656885017 
82. SEA+EX  [鵺]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1656792825 
83. LEE  [真・六段]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1656779348 
84. Mavis.V  [水中だと力が増す人魚]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1656494787 
85. KURI_ZZZ  [衝撃のIMPULSE,ゆらめくMIRAGE]    [アピナ塩尻店@長野県@信越] Score: 1656460786 
86. CATENARY  [名も無い幼い少年]    [コムテックタワー@愛知県@東海] Score: 1656363726 
87. Ryukl*  [God a pain cover?]    [セガ赤羽@東京都@関東] Score: 1656174986 
88. ICENON*  [God hive of Ra]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1656098217 
89. Yakumo  [みくみく女神♪]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1655936637 
90. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1655637229 
91. NORIp  [I love "STARLIGHT TWILIGHT"]    [スーパーノバ天童@山形県@東北] Score: 1655313509 
92. natsume.  [I love "SPARKLING FUTURE"]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1655070902 
93. N4ken@Bs  [旅人]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1655049608 
94. chris  [Detonator God]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1654618323 
95. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1654490055 
96. A.S.HERO  [無理]    [ATTACK GAME CENTER@Korea@海外] Score: 1654242751 
97. FIEL  [未来も、希望も、奪還する！]    [スペースファンタジーインフィニ@青森県@東北] Score: 1653788919 
98. Yuly7188  [天下無双]    [サンアミューズ鹿屋@鹿児島県@九州] Score: 1653006991 
99. Shin  [GOD OF REVIVAL]    [プラサカプコン成田店@千葉県@関東] Score: 1652765657 
100. HITACHI  [CHRONO GOD Ver.2.0]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1651923936 
********************************************************************************************
101. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1651660439 
102. U5*  [DullaGoddess]    [ＧＡＭＥ　ｅｐｒｉｓ@宮城県@東北] Score: 1651096703 
103. KUPU  [W.W.G]    [タイトーステーション弥富店@愛知県@東海] Score: 1650264058 
104. GUEST  [GROOVER]    [群馬レジャーランド伊勢崎店@群馬県@関東] Score: 1650117645 
105. SofLan  [無理]    [タイトーステーション浅草店@東京都@関東] Score: 1649094714 
106. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1648884948 
107. masaki  [フルボッコ先生]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1648423561 
108. IIBOU  [I love "FREE CONNECTION 2"]    [アピナ上越インター店@新潟県@信越] Score: 1647588191 
109. LIMIO  [MURASAME GOD]    [ラウンドワン盛岡店@岩手県@東北] Score: 1646771168 
110. GIL  [グルーヴ百段]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1646656956 
111. TUXEDO.R  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1645708387 
112. VERDURE  [弱虫先生]    [ARCADE1@Korea@海外] Score: 1644834800 
113. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1644567086 
114. Nera  [弱虫神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1643266954 
115. Law  [運び屋]    [プラボ宇都宮店@栃木県@関東] Score: 1642808854 
116. P-KANA*  [尊い・・・]    [ラウンドワン草加店@埼玉県@関東] Score: 1642451684 
117. Syou0139  [伝統の幻想ブン屋]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1641837079 
118. HORIZON  [Ｓ＋級紅茶]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1641331328 
119. ())  [完全に極めたなっしんぐ]    [ファンタジードーム八戸@青森県@東北] Score: 1641201198 
120. KENO  [HIGH TENSION]    [ラウンドワン福島店@福島県@東北] Score: 1640876872 
121. cohalz  [行脚神]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1639823941 
122. Shougo99  [神・初段]    [ラウンドワン浜松店@静岡県@東海] Score: 1639709740 
123. NOLF68  [ALERT]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1639395375 
124. xx_Adam  [第四ノ封印ヲ解放セシ者]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1638962748 
125. RETurn  [二代目超シューティング神]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1638621149 
126. Makaru.G  [GOD]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1638399367 
127. Mojo  [LINK PERFECT]    [ナムコランド広島店@広島県@中国] Score: 1638217139 
128. tope-kon  [NEPTUNE]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1637245781 
129. KYONKO  [LINK PERFECT]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1637136747 
130. HONOME  [白金神]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1636630169 
131. Kissshot  [絶対思想啓蒙局神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1636401951 
132. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1636234596 
133. VAL  [二代目超シューティング神]    [アルプラザボウル鯖江@福井県@北陸] Score: 1634942386 
134. BEGINNER  [GROOVER]    [タイトーアミュプラザおおいた店@大分県@九州] Score: 1634824983 
135. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1634686448 
136. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1633861785 
137. kum@risa  [全都道府県完全制覇]    [千葉レジャーランド稲毛店@千葉県@関東] Score: 1633083285 
138. arisia  [ミュージック・リボルバー・ゴッド]    [タイトーステーション浜松店@静岡県@東海] Score: 1633050962 
139. YAMA-!?  [魔法少女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1632280532 
140. KUU  [I love たぬきゅん]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1632117151 
141. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1632020533 
142. Naka.F  [死ぬがよい。]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1631923099 
143. MIKO  [プリンシパリティ]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1631644349 
144. AKKI1027  [ノリノリンカちゃん]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1631448131 
145. Kreide  [無理]    [ラウンドワン長野店@長野県@信越] Score: 1631178358 
146. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1630016080 
147. NOGUnSO  [Ｓ＋級ドーナッツ]    [セガ安城@愛知県@東海] Score: 1629686431 
148. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1629636540 
149. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629062358 
150. G.urakaM  [真・四段]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1628595382 
151. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1628319449 
152. 9M@NO3  [長野勢]    [プレイロットジョイ@東京都@関東] Score: 1627909217 
153. ZONE  [シンガポール勢]    [リッチモンド@熊本県@九州] Score: 1626932901 
154. R.KaBaTa  [TANO*C MASTER]    [SEGA WORLD(DAJIANG)@Taiwan@海外] Score: 1626622446 
155. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1626559231 
156. C-man  [わわわわーにん！]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1626206279 
157. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1625550018 
158. cycla.  [I love "二息歩行"]    [キャッツアイ新札幌店@北海道@北海道] Score: 1623838329 
159. yetogen  [God a pain cover?]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1623637896 
160. RAM4  [はじめてのぐるこす]    [アドアーズ橋本@神奈川県@関東] Score: 1623346295 
161. SNOW  [ずんどこずんどこずんどこずんどこ]    [ゲームチャオ松阪@三重県@東海] Score: 1623314669 
162. MONO  [ニャスニャス！]    [ギガゾーン広島駅前店@広島県@中国] Score: 1623307332 
163. KANI  [九龍神]    [セガ水戸南@茨城県@関東] Score: 1622650485 
164. Albireo  [LINK PERFECT]    [タイトーステーション秋葉原店@東京都@関東] Score: 1622556084 
165. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1622303389 
166. xx_LA-LA  [バーカバーカ！]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1621917190 
167. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1621645882 
168. Kirisame  [魔砲「ファイナルマスタースパーク」]    [ラウンドワン奈良店@奈良県@近畿] Score: 1620986893 
169. ZODY  [癒しの歌姫]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1620813906 
170. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1620558471 
171. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1620535698 
172. Takashi#  [Good Night, Bad God.]    [タイトーＦステーション博多店@福岡県@九州] Score: 1619467911 
173. BASS  [SATURN]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1619071961 
174. SEFY  [The NecroDancer]    [キャロム坂戸店@埼玉県@関東] Score: 1618818021 
175. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1618173023 
176. MEBIUS  [練習中]    [ラウンドワン宮崎店@宮崎県@九州] Score: 1618097852 
177. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1617850764 
178. KZ+manju  [全都道府県完全制覇]    [ラウンドワン奈良店@奈良県@近畿] Score: 1617419196 
179. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1617299761 
180. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1616935068 
181. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1616794834 
182. TAPE  [踊ってみたら七変化！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1615222174 
183. K-FISHER  [GROOVER]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1615008668 
184. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1614846194 
185. mea*  [うー！がぉー！]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1614666689 
186. Tsukasa  [K.I.N.G]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1614444655 
187. xx_DiC  [会いたい神]    [LOVEJIS LION TAOYUAN@Taiwan@海外] Score: 1613629788 
188. PETER1  [天下統一]    [AMERICAN POOL@Hong Kong@海外] Score: 1613289772 
189. PURAMU  [Crazy ∞ Queen]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1612800166 
190. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1612135149 
191. NANOHA77  [I love "ETERNAL BLAZE"]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1612001926 
192. H.SYSTEM  [LARGE ISLAND]    [遊パラダイス@山形県@東北] Score: 1611287490 
193. MINE.  [CHRONO GOD Ver.2.0]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1609094446 
194. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1609064181 
195. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1608815892 
196. ni-yan  [バーカバーカ！]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1608534040 
197. EN453  [高知勢]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1608030302 
198. FSTK  [Chaos God]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1607932691 
199. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1606124931 
200. PICO  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1606123794 
********************************************************************************************
201. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1605843497 
202. xx_Clark  [第四回天下一チャレンジャー]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1604816773 
203. HASSY  [Ｓ級ワルキューレ]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1604556959 
204. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1602492014 
205. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1601800073 
206. MAKURO  [God ID]    [タイトーステーション新宿東口店@東京都@関東] Score: 1601401217 
207. BANANA  [初代SSS CLASS]    [ラウンドワン梅田店@大阪府@近畿] Score: 1600527715 
208. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1600193234 
209. PezzA>.<  [真・一万段]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1600149361 
210. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1598126801 
211. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1597551291 
212. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1596997361 
213. Hinata  [猫先生]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1596391362 
214. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1596170204 
215. 27  [すっごーい！]    [アドアーズ大和Ａ館@神奈川県@関東] Score: 1596028326 
216. T=YURIKA  [ヴァンパイア姫]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1595610925 
217. issy  [エンヴィキャットゴッド]    [タイトーステーション立川北口店@東京都@関東] Score: 1595278535 
218. GARYU!!!  [グルーヴ六十万段]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1595111646 
219. TOKOHA  [無彩色神]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1594699417 
220. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1594578644 
221. Darful  [私のことは殿下と呼びたまえ！]    [インターワールド伊勢崎店@群馬県@関東] Score: 1593673558 
222. Mizore  [ヴァンパイア神]    [四日市アミューズメントパーク@三重県@東海] Score: 1592911669 
223. DADDY  [たのしー！]    [セガ秋葉原１号館@東京都@関東] Score: 1590024044 
224. IZAWA/  [I love Xenoa]    [ユーズランド下田店@青森県@東北] Score: 1589777601 
225. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1589653906 
226. Mikurino  [アスノヨゾラ神班]    [ROUND1(MAIN PLACE)@America@海外] Score: 1589602309 
227. MYU-10  [一番星☆☆☆]    [タイトーステーション小田原店@神奈川県@関東] Score: 1588553762 
228. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1587067866 
229. Chuckey  [全都道府県完全制覇]    [ナムコランド広島店@広島県@中国] Score: 1586729883 
230. LOCK  [でんでん先生]    [セガ池袋ギーゴ@東京都@関東] Score: 1585791178 
231. SGK4444  [SATURN]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1585601586 
232. BYDO  [BRIER CASTLE]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1585150736 
233. JACK.O  [普通の魔法使い]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1584400276 
234. Eagle.  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1584348285 
235. Magnolia  [PRINCESS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1584103500 
236. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1582444951 
237. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1581925544 
238. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1581859211 
239. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1581339848 
240. DA_FU  [TGM大王]    [ＡＧスクエア岡谷@長野県@信越] Score: 1579796756 
241. Y.G.insa  [Kick It Out God]    [タイトーフジグラン北島店@徳島県@四国] Score: 1579711525 
242. DAGO  [ここがグルーヴの中心よ！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1579614425 
243. ZoKoSu  [しんどい]    [セガ海田@広島県@中国] Score: 1579572489 
244. U.runo  [拍音の戦士]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1578500560 
245. karinPTV  [I love "Lost Colors"]    [コムテックスクウェア@愛知県@東海] Score: 1577979041 
246. Silver  [閉じた恋の瞳]    [Ｔ／Ｓファボーレ婦中@富山県@北陸] Score: 1577173556 
247. POTETO  [戦車女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1576852466 
248. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1576758285 
249. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1576491949 
250. Takato.  [GC2最終スコアタ皇帝]    [タイトーＦステーション南大沢店@東京都@関東] Score: 1574977679 
251. M4R1S4  [御柱神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1574678438 
252. mrskon-G  [空想神]    [タイトーステーション大須店@愛知県@東海] Score: 1573188224 
253. MOEOU  [八岐大蛇]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1573021553 
254. KENTA-09  [Ｓ＋級ラーメン]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1572617004 
255. yukineko  [大分勢]    [ラウンドワン大分店@大分県@九州] Score: 1572580773 
256. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1571807319 
257. LONGNEGI  [有　罪]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1571598217 
258. TOARU  [二代目超シューティング神]    [タイトーステーション立川北口店@東京都@関東] Score: 1570713905 
259. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1570701083 
260. TAK  [キャッチ・ザ・ハート]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1569756160 
261. #KEN*  [NEPTUNE]    [セガ岡崎@愛知県@東海] Score: 1566549390 
262. 504939  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1565079790 
263. KaZuKi09  [弱虫神]    [セガ松江@島根県@中国] Score: 1564926617 
264. GFP  [I love Ray series]    [カレッジ・スクエア@山形県@東北] Score: 1564652213 
265. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1562771841 
266. LEO*  [奈良勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1562181790 
267. KUJIGEN  [天然ボケ]    [ゲームマグマックス川越@埼玉県@関東] Score: 1560994795 
268. NAOTOMO  [仮初の満足]    [タイトーステーション大須店@愛知県@東海] Score: 1558769506 
