47. Shikyo  [TGM神]    [キャッツアイ麻生店@北海道@北海道] Score: 1586228559 
69. LEE  [魔奴化]    [キャッツアイ恵庭店@北海道@北海道] Score: 1581553286 
78. Sasuke  [Phone Dead God]    [ビッグバン釧路@北海道@北海道] Score: 1580454678 
98. Rinne!?  [バーカバーカ！]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1574345611 
117. chris  [Detonator God]    [キャッツアイ東苗穂店@北海道@北海道] Score: 1568529593 
140. cohalz  [沖縄勢]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1559934343 
243. SCP-106  [最高の舞台を目指せ！]    [ゲームランド新さっぽろ@北海道@北海道] Score: 1510781856 
249. Tokky  [MY FIRST GOD]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1508123419 
269. Yui.  [The NecroDancer]    [ギャラクシーゲート函館@北海道@北海道] Score: 1496012650 
307. BIS(9)  [I LOVE ZUNTATA]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1472694107 
311. Ayahi  [I love "Five to Seven"]    [タイトーステーション札幌狸小路@北海道@北海道] Score: 1467919074 
318. CHIK.WAV  [牛乳プリン]    [タイトーステーション札幌狸小路@北海道@北海道] Score: 1462095227 
345. COACH  [白虎]    [ラウンドワン札幌すすきの店@北海道@北海道] Score: 1444641487 
348. +HAKASE+  [刻の幻影]    [ラウンドワン函館店@北海道@北海道] Score: 1440861217 
357. Syu  [Ever Free God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1433759105 
372. TKK  [年中イキっていこう～]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1425756607 
430. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1373809814 
442. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1365071710 
506. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1313435899 
522. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1300309203 
604. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1238033727 
687. AYATAKA  [パンプキン神]    [ディノスパーク札幌手稲@北海道@北海道] Score: 1188298275 
735. MASAKAZU  [不可能を無にする者]    [ゲームランド新さっぽろ@北海道@北海道] Score: 1166789457 
772. SHINDEN  [Chaos God]    [キャッツアイ篠路店@北海道@北海道] Score: 1149336712 
786. KANONE  [永遠の中二病]    [ギャラクシーゲート函館@北海道@北海道] Score: 1142536221 
792. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1139359582 
803. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1135405762 
807. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1133544595 
836. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1112856479 
858. BOLUX  [我が駆るは、天翔る鉄騎兵]    [キャッツアイ手稲店@北海道@北海道] Score: 1101667803 
877. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1091056316 
912. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1072154816 
915. MoyaC.  [MERLIN GOD]    [ギャラクシーゲート函館@北海道@北海道] Score: 1071403176 
923. Jibri-l*  [Ｓ級幼稚園児]    [キャッツアイ麻生店@北海道@北海道] Score: 1067465528 
933. Oriens  [God's Blood]    [ビックバン滝川@北海道@北海道] Score: 1062270676 
961. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1046497216 
977. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1034320829 
982. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1032203065 
