58. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1705987053 
62. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1705318254 
69. 2CYR  [トリノコシティ・マスター]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1703004559 
97. 9JO-NEGI  [有　罪]    [ソニックビーム松戸店@千葉県@関東] Score: 1695063017 
99. NARSAN  [GAME MUSIC TRIANGLER]    [ラッキー八千代店@千葉県@関東] Score: 1693974094 
113. mokotaso  [LINK PERFECT]    [ビバホーム新習志野店２階@千葉県@関東] Score: 1689767030 
122. Ao8maMio  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [ソニックビーム松戸店@千葉県@関東] Score: 1685041949 
163. OGAPY.GC  [I love "瞳のLAZhWARD"]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1666067576 
164. Syou0139  [伝統の幻想ブン屋]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1665891647 
202. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1649435866 
208. 8MA  [I love "Pray"]    [ラッキー八千代店@千葉県@関東] Score: 1644973889 
228. ni-yan  [伝統の幻想ブン屋]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1632467060 
265. RGA  [全都道府県完全制覇]    [ソニックビーム松戸店@千葉県@関東] Score: 1599847882 
291. takane01  [イノベーター]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1579982552 
324. mike  [オンラインゲームゴッド]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1556067789 
402. PF#(9th  [LINK PERFECT]    [ソユーゲームフィールド木更津店@千葉県@関東] Score: 1490897094 
408. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1487288234 
421. FELT  [うー！がぉー！]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1473739941 
423. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1472426368 
444. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1452906530 
494. WARLOCK  [AXION SORCERER]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1408530801 
496. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1406317889 
530. Kagerou  [御柱大王]    [プラサカプコン成田店@千葉県@関東] Score: 1381738940 
554. HIYOKU  [初代ELITE]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1359441206 
584. METAL+  [お断リンカちゃん]    [千葉レジャーランド稲毛店@千葉県@関東] Score: 1331707595 
591. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1326234210 
617. Taka+80  [りんご]    [ラッキー八千代店@千葉県@関東] Score: 1312019222 
628. teiramic  [Kick It Out Master]    [茂原ミナミボウル@千葉県@関東] Score: 1307098499 
638. TAKAHIRO  [URBAN MASTER]    [ワンダーヴュー成田店@千葉県@関東] Score: 1299302485 
683. EDAMAME  [コカトリス]    [セガワールド旭@千葉県@関東] Score: 1269932213 
699. -----0=0  [彼女とデートなうって使っていいよ。]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1256865171 
705. Toki  [でんぱ神]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1253282775 
749. IM  [ドウニデモ＝ナ＝レ(76)]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1222133100 
793. Phone@J  [Ever Free God]    [ラッキー木更津店@千葉県@関東] Score: 1198078703 
822. chi.ro  [星の歌姫]    [宝島　新浦安店@千葉県@関東] Score: 1182177558 
825. tnpopo!!  [アイスクリーム神]    [ゲームチャリオット五井店@千葉県@関東] Score: 1180836547 
830. YAIBA  [不可能へ挑戦する者]    [タイトーステーション船橋店@千葉県@関東] Score: 1178052342 
841. Ganghtoo  [わんこそば]    [鉄腕２４　稲毛長沼店@千葉県@関東] Score: 1172585696 
842. ALBERT01  [Ｓ級ラー]    [鉄腕２４　稲毛長沼店@千葉県@関東] Score: 1172303682 
871. NEGIGAMO  [Shadow God]    [セガ幕張@千葉県@関東] Score: 1162732705 
884. Retoree  [あたいったら最強ね！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1154970271 
969. MetRoEX  [Fess up神]    [タイトーステーション柏店@千葉県@関東] Score: 1107538403 
977. Mo  [噂の美少女探偵]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1102425093 
