49. Shikyo  [TGM神]    [キャッツアイ麻生店@北海道@北海道] Score: 1633460047 
75. Sasuke  [エンヴィキャットゴッド]    [ビッグバン釧路@北海道@北海道] Score: 1628447200 
78. chris  [Detonator God]    [ギャラクシーゲート函館@北海道@北海道] Score: 1627666673 
92. LEE  [騒霊三姉妹]    [キャッツアイ恵庭店@北海道@北海道] Score: 1624624658 
157. Rinne!?  [ピッチピチ16歳]    [ｎａｍｃｏ札幌エスタ店@北海道@北海道] Score: 1598951060 
263. Tokky  [MY FIRST GOD]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1541768614 
290. Yui.  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1525548387 
293. SCP-106  [無理]    [キャッツアイ篠路店@北海道@北海道] Score: 1523450323 
311. CHIK.WAV  [尊い・・・]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1510159386 
315. BIS(9)  [すっごーい！]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1507586475 
336. COACH  [I love ATTACK THE MUSIC]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1489534983 
349. Ayahi  [I love "Five to Seven"]    [キャッツアイ麻生店@北海道@北海道] Score: 1480394659 
350. +HAKASE+  [The NecroDancer]    [ラウンドワン函館店@北海道@北海道] Score: 1480277866 
374. TKK  [無理]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1458451790 
396. Syu  [Ever Free God]    [ラウンドワン函館店@北海道@北海道] Score: 1440668120 
439. Toma9/  [無彩色神]    [ビッグバン釧路@北海道@北海道] Score: 1409248282 
488. RIN@3EX  [第二回天下一音ゲ祭 ファイナリスト]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1363646240 
527. AYATAKA  [Satisfiction King]    [キャッツアイ手稲店@北海道@北海道] Score: 1325817043 
548. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1313426934 
551. HIDEO  [北海道勢]    [ギャラクシーゲート函館@北海道@北海道] Score: 1310382473 
573. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1294350933 
631. tzw10430  [GROOVER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1253795722 
635. KUROBARA  [神術「吸血鬼幻想」]    [ビッグバン釧路@北海道@北海道] Score: 1249805265 
707. NAZO-J.I  [GREAT THING]    [キャッツアイ清田店@北海道@北海道] Score: 1205652577 
728. SHINDEN  [God more raves?]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1198763280 
823. KANONE  [正体不明の男]    [ギャラクシーゲート函館@北海道@北海道] Score: 1153654248 
827. Oriens  [DEC, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1149424269 
842. BOLUX  [つらい]    [キャッツアイ手稲店@北海道@北海道] Score: 1142118655 
849. Nagisa  [アザレアの神]    [ビックバン函館@北海道@北海道] Score: 1139480104 
869. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1129405762 
871. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1127642989 
899. Shivaty  [railgun god]    [ビックバン函館@北海道@北海道] Score: 1112592419 
906. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1106956025 
908. ++CaL+/  [Ｓ＋級からあげ]    [タイトーステーション千歳店@北海道@北海道] Score: 1105742663 
909. Jibri-l*  [純情可憐な女の子]    [キャッツアイ麻生店@北海道@北海道] Score: 1105190407 
933. Bump  [天体観測大王]    [キャッツアイ篠路店@北海道@北海道] Score: 1091274002 
935. MoyaC.  [世界で一番宇宙で銀河]    [ラウンドワン函館店@北海道@北海道] Score: 1090411303 
971. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1066200811 
992. S@KRAMnT  [真・一億段]    [タイトーステーション千歳店@北海道@北海道] Score: 1054447638 
