4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1772987633 
40. cosmic  [春夏秋冬の神]    [タイトーステーション柏店@千葉県@関東] Score: 1760864138 
43. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1759192676 
48. 2CYR  [Crimson Phoenix Master]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1758074813 
87. Syou0139  [永遠の巫女]    [モリシア　アミューズパーク@千葉県@関東] Score: 1735690860 
104. LOLME  [千葉勢]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1726813554 
146. ni-yan  [小槌「お前が大きくなあれ」]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1706846953 
199. mokotaso  [LINK PERFECT]    [セガ幕張@千葉県@関東] Score: 1681726533 
209. Ao8maMio  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [ソニックビーム松戸店@千葉県@関東] Score: 1672092615 
213. K-FISHER  [GROOVER]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1669760361 
221. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1664759994 
222. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1662507202 
228. DNOO  [初代DREAMER]    [ラウンドワン市川鬼高店@千葉県@関東] Score: 1659369780 
241. kum@risa  [全都道府県完全制覇]    [ラッキー八千代店@千葉県@関東] Score: 1644880035 
264. takane01  [イノベーター]    [タイトーステーション柏店@千葉県@関東] Score: 1622351349 
294. Owl.  [旧渋谷神]    [タイトーステーション柏店@千葉県@関東] Score: 1593612520 
310. MYUT0  [一番星☆☆☆]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1583293059 
318. JACK  [最高の舞台を目指せ！]    [タイトーステーション船橋店@千葉県@関東] Score: 1577757270 
334. R#(9)  [LINK PERFECT]    [ソユーゲームフィールド木更津店@千葉県@関東] Score: 1565810161 
344. LMTAK  [Moonbound master]    [アミューズメントエース市川店@千葉県@関東] Score: 1557160464 
345. TKK  [無理]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1554891119 
383. L+Crante  [Ｓ＋級クレープ]    [タイトーステーション柏店@千葉県@関東] Score: 1520212702 
407. lUY18>>  [Keep the Fujin]    [タイトーステーション柏店@千葉県@関東] Score: 1500711249 
410. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1497574284 
436. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1478592541 
452. TYA-HAN  [Ｓ＋級チャーハン]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1461394944 
453. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1459584318 
507. Kagerou  [2.5次元伝説！]    [セガワールド旭@千葉県@関東] Score: 1410237732 
524. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1393424427 
559. teiramic  [Kick It Out Master]    [モリシア　アミューズパーク@千葉県@関東] Score: 1363210555 
580. HIYOKU  [初代ELITE]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1346634792 
584. MIYATAKE  [ユメミスト]    [千葉レジャーランド稲毛店@千葉県@関東] Score: 1345155109 
629. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1313875149 
641. Triage-X  [エース]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1307919640 
645. TAKAHIRO  [URBAN MASTER]    [ワンダーヴュー成田店@千葉県@関東] Score: 1304975413 
662. ruruki  [「馬鹿じゃないの？」]    [タイトーステーション柏店@千葉県@関東] Score: 1299151152 
674. Toki  [GOD]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1285998448 
683. EDAMAME  [Ｓ＋級おでん]    [セガワールド旭@千葉県@関東] Score: 1279728769 
685. Sugi  [破壊神]    [タイトーステーション柏店@千葉県@関東] Score: 1278871184 
715. -----0=0  [エース]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1254392415 
720. Phone@J  [I love "東方外魔伝"]    [ラッキー木更津店@千葉県@関東] Score: 1249980912 
781. IM  [ドウニデモ＝ナ＝レ(76)]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1210067287 
783. ALBERT01  [月符「緋色の狂夢」]    [セガワールド成田@千葉県@関東] Score: 1209974908 
800. @ikoP  [I love "Dreamer"]    [タイトーステーション柏店@千葉県@関東] Score: 1197905710 
831. Ganghtoo  [わんこそば]    [鉄腕２４　稲毛長沼店@千葉県@関東] Score: 1182490710 
842. chi.ro  [星の歌姫]    [宝島　新浦安店@千葉県@関東] Score: 1176141581 
856. ONGR  [アイスクリーム神]    [ゲームチャリオット五井店@千葉県@関東] Score: 1169944398 
899. negigamo  [Shadow God]    [セガ幕張@千葉県@関東] Score: 1149832574 
910. Retoree  [あたいったら最強ね！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1142466439 
938. MetRoEX  [QLWAKING]    [タイトーステーション柏店@千葉県@関東] Score: 1131186345 
952. NAYU  [TANO*C GOD]    [タイトーステーション船橋店@千葉県@関東] Score: 1122279995 
967. YS000001  [タイトーLOVE]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1114482518 
