1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1763000000 
2. K.I.  [カーナビ神]    [スターダスト@岡山県@中国] Score: 1763000000 
3. marirui  [カーナビ大王]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1763000000 
4. KEI  [エストポリス神]    [ラッキー八千代店@千葉県@関東] Score: 1762987633 
5. zoroakun  [Sakura God]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1762928116 
6. HIHIME  [朱雀]    [JUMBO GAME@Hong Kong@海外] Score: 1762858480 
7. DIYUSI  [パワー]    [ラウンドワン岸和田店@大阪府@近畿] Score: 1762739079 
8. Hatuneko  [環状線神]    [TOM'S(TAICHUNG CINCIN)@Taiwan@海外] Score: 1762328426 
9. ERION  [I love "ポリリズム"]    [テクモピアインターパーク店@栃木県@関東] Score: 1761503927 
10. akariki  [わぁい神様大好き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1761213785 
11. SKYMAN  [Starlight Road God]    [スターダスト@岡山県@中国] Score: 1760816308 
12. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1760664751 
13. BLACKemo  [アザレアの神]    [プレイランドキング円町店@京都府@近畿] Score: 1760539885 
14. HAKOBUN3  [Groove master? -xiRemix-]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1760296492 
15. GUREKO++  [JUMPEE! GOD!]    [ロックンボウル@秋田県@東北] Score: 1760073960 
16. TaNiTi  [I love "Black MInD"]    [ナムコランド広島店@広島県@中国] Score: 1760051727 
17. MiroT  [アンノウン・ゴッデス]    [ファンタジードーム八戸@青森県@東北] Score: 1760009491 
18. QWERTZ__  [KING JUMPER]    [ビーカム松森店@宮城県@東北] Score: 1759213086 
19. LUCA  [竹林のルーガルー]    [タイトーステーション町田店@東京都@関東] Score: 1758508942 
20. 44327  [LINK PERFECT]    [ラウンドワン福山店@広島県@中国] Score: 1758089158 
